"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-19",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-20",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-21",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-22",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-23",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-24",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-25",,,,,
