"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN"
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-12-27",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-12-28",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-12-29",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-12-30",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-12-31",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-01",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-02",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-03",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-04",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-05",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-06",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-07",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-08",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-09",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-10",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-11",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-12",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-13",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-14",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-15",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-16",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-17",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-18",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-19",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-20",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-21",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-22",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-23",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-24",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-25",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-26",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-27",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-28",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-29",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-30",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-01-31",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-01",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-02",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-03",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-04",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-05",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-06",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-07",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-08",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-09",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-10",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-11",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-12",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-13",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-14",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-15",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-16",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-17",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-18",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-19",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2019-02-20",,,,
